column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22
14,1577-1234,14번 테스트 문자입니다.,"14번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345691,ABCDEFG,김유신,2023.05.31,9,LMS,14,1577-1234,14번 담당자님 전달 문자입니다.,"14번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345691,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
15,1577-1234,15번 테스트 문자입니다.,"15번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345692,ABCDEFG,김유신,2023.05.31,9,LMS,15,1577-1234,15번 담당자님 전달 문자입니다.,"15번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345692,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
16,1577-1234,16번 테스트 문자입니다.,"16번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345693,ABCDEFG,김유신,2023.05.31,9,LMS,16,1577-1234,16번 담당자님 전달 문자입니다.,"16번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345693,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
17,1577-1234,17번 테스트 문자입니다.,"17번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345694,ABCDEFG,김유신,2023.05.31,9,LMS,17,1577-1234,17번 담당자님 전달 문자입니다.,"17번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345694,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
18,1577-1234,18번 테스트 문자입니다.,"18번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345695,ABCDEFG,김유신,2023.05.31,9,LMS,18,1577-1234,18번 담당자님 전달 문자입니다.,"18번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345695,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
19,1577-1234,19번 테스트 문자입니다.,"19번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345696,ABCDEFG,김유신,2023.05.31,9,LMS,19,1577-1234,19번 담당자님 전달 문자입니다.,"19번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345696,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
20,1577-1234,20번 테스트 문자입니다.,"20번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345697,ABCDEFG,김유신,2023.05.31,9,LMS,20,1577-1234,20번 담당자님 전달 문자입니다.,"20번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345697,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
21,1577-1234,21번 테스트 문자입니다.,"21번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345698,ABCDEFG,김유신,2023.05.31,9,LMS,21,1577-1234,21번 담당자님 전달 문자입니다.,"21번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345698,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
22,1577-1234,22번 테스트 문자입니다.,"22번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345699,ABCDEFG,김유신,2023.05.31,9,LMS,22,1577-1234,22번 담당자님 전달 문자입니다.,"22번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345699,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
23,1577-1234,23번 테스트 문자입니다.,"23번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345700,ABCDEFG,김유신,2023.05.31,9,LMS,23,1577-1234,23번 담당자님 전달 문자입니다.,"23번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345700,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
24,1577-1234,24번 테스트 문자입니다.,"24번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345701,ABCDEFG,김유신,2023.05.31,9,LMS,24,1577-1234,24번 담당자님 전달 문자입니다.,"24번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345701,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
25,1577-1234,25번 테스트 문자입니다.,"25번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345702,ABCDEFG,김유신,2023.05.31,9,LMS,25,1577-1234,25번 담당자님 전달 문자입니다.,"25번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345702,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
26,1577-1234,26번 테스트 문자입니다.,"26번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345703,ABCDEFG,김유신,2023.05.31,9,LMS,26,1577-1234,26번 담당자님 전달 문자입니다.,"26번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345703,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
27,1577-1234,27번 테스트 문자입니다.,"27번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345704,ABCDEFG,김유신,2023.05.31,9,LMS,27,1577-1234,27번 담당자님 전달 문자입니다.,"27번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345704,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
28,1577-1234,28번 테스트 문자입니다.,"28번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345705,ABCDEFG,김유신,2023.05.31,9,LMS,28,1577-1234,28번 담당자님 전달 문자입니다.,"28번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345705,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
29,1577-1234,29번 테스트 문자입니다.,"29번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345706,ABCDEFG,김유신,2023.05.31,9,LMS,29,1577-1234,29번 담당자님 전달 문자입니다.,"29번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345706,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
30,1577-1234,30번 테스트 문자입니다.,"30번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345707,ABCDEFG,김유신,2023.05.31,9,LMS,30,1577-1234,30번 담당자님 전달 문자입니다.,"30번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345707,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
31,1577-1234,31번 테스트 문자입니다.,"31번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345708,ABCDEFG,김유신,2023.05.31,9,LMS,31,1577-1234,31번 담당자님 전달 문자입니다.,"31번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345708,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
32,1577-1234,32번 테스트 문자입니다.,"32번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345709,ABCDEFG,김유신,2023.05.31,9,LMS,32,1577-1234,32번 담당자님 전달 문자입니다.,"32번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345709,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
33,1577-1234,33번 테스트 문자입니다.,"33번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345710,ABCDEFG,김유신,2023.05.31,9,LMS,33,1577-1234,33번 담당자님 전달 문자입니다.,"33번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345710,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
34,1577-1234,34번 테스트 문자입니다.,"34번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345711,ABCDEFG,김유신,2023.05.31,9,LMS,34,1577-1234,34번 담당자님 전달 문자입니다.,"34번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345711,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
35,1577-1234,35번 테스트 문자입니다.,"35번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345712,ABCDEFG,김유신,2023.05.31,9,LMS,35,1577-1234,35번 담당자님 전달 문자입니다.,"35번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345712,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
36,1577-1234,36번 테스트 문자입니다.,"36번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345713,ABCDEFG,김유신,2023.05.31,9,LMS,36,1577-1234,36번 담당자님 전달 문자입니다.,"36번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345713,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
37,1577-1234,37번 테스트 문자입니다.,"37번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345714,ABCDEFG,김유신,2023.05.31,9,LMS,37,1577-1234,37번 담당자님 전달 문자입니다.,"37번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345714,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
38,1577-1234,38번 테스트 문자입니다.,"38번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345715,ABCDEFG,김유신,2023.05.31,9,LMS,38,1577-1234,38번 담당자님 전달 문자입니다.,"38번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345715,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
39,1577-1234,39번 테스트 문자입니다.,"39번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345716,ABCDEFG,김유신,2023.05.31,9,LMS,39,1577-1234,39번 담당자님 전달 문자입니다.,"39번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345716,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
40,1577-1234,40번 테스트 문자입니다.,"40번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345717,ABCDEFG,김유신,2023.05.31,9,LMS,40,1577-1234,40번 담당자님 전달 문자입니다.,"40번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345717,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
41,1577-1234,41번 테스트 문자입니다.,"41번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345718,ABCDEFG,김유신,2023.05.31,9,LMS,41,1577-1234,41번 담당자님 전달 문자입니다.,"41번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345718,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
42,1577-1234,42번 테스트 문자입니다.,"42번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345719,ABCDEFG,김유신,2023.05.31,9,LMS,42,1577-1234,42번 담당자님 전달 문자입니다.,"42번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345719,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
43,1577-1234,43번 테스트 문자입니다.,"43번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345720,ABCDEFG,김유신,2023.05.31,9,LMS,43,1577-1234,43번 담당자님 전달 문자입니다.,"43번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345720,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:313,admin
44,1577-1234,44번 테스트 문자입니다.,"44번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345721,ABCDEFG,김유신,2023.05.31,9,LMS,44,1577-1234,44번 담당자님 전달 문자입니다.,"44번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345721,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
45,1577-1234,45번 테스트 문자입니다.,"45번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345722,ABCDEFG,김유신,2023.05.31,9,LMS,45,1577-1234,45번 담당자님 전달 문자입니다.,"45번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345722,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
46,1577-1234,46번 테스트 문자입니다.,"46번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345723,ABCDEFG,김유신,2023.05.31,9,LMS,46,1577-1234,46번 담당자님 전달 문자입니다.,"46번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345723,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
47,1577-1234,47번 테스트 문자입니다.,"47번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345724,ABCDEFG,김유신,2023.05.31,9,LMS,47,1577-1234,47번 담당자님 전달 문자입니다.,"47번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345724,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
48,1577-1234,48번 테스트 문자입니다.,"48번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345725,ABCDEFG,김유신,2023.05.31,9,LMS,48,1577-1234,48번 담당자님 전달 문자입니다.,"48번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345725,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
49,1577-1234,49번 테스트 문자입니다.,"49번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345726,ABCDEFG,김유신,2023.05.31,9,LMS,49,1577-1234,49번 담당자님 전달 문자입니다.,"49번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345726,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
50,1577-1234,50번 테스트 문자입니다.,"50번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345727,ABCDEFG,김유신,2023.05.31,9,LMS,50,1577-1234,50번 담당자님 전달 문자입니다.,"50번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345727,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
51,1577-1234,51번 테스트 문자입니다.,"51번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345728,ABCDEFG,김유신,2023.05.31,9,LMS,51,1577-1234,51번 담당자님 전달 문자입니다.,"51번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345728,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
52,1577-1234,52번 테스트 문자입니다.,"52번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345729,ABCDEFG,김유신,2023.05.31,9,LMS,52,1577-1234,52번 담당자님 전달 문자입니다.,"52번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345729,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
53,1577-1234,53번 테스트 문자입니다.,"53번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345730,ABCDEFG,김유신,2023.05.31,9,LMS,53,1577-1234,53번 담당자님 전달 문자입니다.,"53번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345730,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
54,1577-1234,54번 테스트 문자입니다.,"54번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345731,ABCDEFG,김유신,2023.05.31,9,LMS,54,1577-1234,54번 담당자님 전달 문자입니다.,"54번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345731,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
55,1577-1234,55번 테스트 문자입니다.,"55번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345732,ABCDEFG,김유신,2023.05.31,9,LMS,55,1577-1234,55번 담당자님 전달 문자입니다.,"55번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345732,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
56,1577-1234,56번 테스트 문자입니다.,"56번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345733,ABCDEFG,김유신,2023.05.31,9,LMS,56,1577-1234,56번 담당자님 전달 문자입니다.,"56번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345733,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
57,1577-1234,57번 테스트 문자입니다.,"57번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345734,ABCDEFG,김유신,2023.05.31,9,LMS,57,1577-1234,57번 담당자님 전달 문자입니다.,"57번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345734,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
58,1577-1234,58번 테스트 문자입니다.,"58번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345735,ABCDEFG,김유신,2023.05.31,9,LMS,58,1577-1234,58번 담당자님 전달 문자입니다.,"58번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345735,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
59,1577-1234,59번 테스트 문자입니다.,"59번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345736,ABCDEFG,김유신,2023.05.31,9,LMS,59,1577-1234,59번 담당자님 전달 문자입니다.,"59번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345736,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
60,1577-1234,60번 테스트 문자입니다.,"60번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345737,ABCDEFG,김유신,2023.05.31,9,LMS,60,1577-1234,60번 담당자님 전달 문자입니다.,"60번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345737,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
61,1577-1234,61번 테스트 문자입니다.,"61번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345738,ABCDEFG,김유신,2023.05.31,9,LMS,61,1577-1234,61번 담당자님 전달 문자입니다.,"61번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345738,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
62,1577-1234,62번 테스트 문자입니다.,"62번 고객님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345739,ABCDEFG,김유신,2023.05.31,9,LMS,62,1577-1234,62번 담당자님 전달 문자입니다.,"62번 담당자님, 안녕하세요. 
오늘도 행복한 하루 보내세요.
Have a happy day!!! ",010-12345739,ABCDEFG,김유신,2023.05.31,9,LMS,2025-02-20 17:52:43:314,admin
