tradeId	accountId	customerName	stockCode	stockName	marketType	orderType	orderChannel	quantity	price	orderAmount	tradeStatus	branchCode	employeeId	currency	deviceType	ipAddress	createdAt	updatedAt	remark
T000045	ACC641383	류순옥	000660	NAVER	KOSPI	SELL	MTS	600	89947	44711499	CANCELLED	BR361	EMP1524	KRW	PC	99.160.196.234	2024-01-01 00:45:00	2024-01-01 00:50:00	테스트데이터
T000046	ACC339140	이영일	005930	삼성전자	KOSDAQ	BUY	HTS	804	85900	39349185	CANCELLED	BR555	EMP4302	KRW	TABLET	112.18.153.138	2024-01-01 00:46:00	2024-01-01 00:51:00	테스트데이터
T000047	ACC945518	강서영	035420	SK하이닉스	KOSPI	BUY	HTS	281	145943	3766993	COMPLETED	BR414	EMP1754	KRW	TABLET	22.60.132.145	2024-01-01 00:47:00	2024-01-01 00:52:00	정상거래
T000048	ACC862875	김영호	051910	삼성전자	KOSDAQ	SELL	WTS	356	380100	29884562	CANCELLED	BR309	EMP9988	KRW	PC	108.127.233.45	2024-01-01 00:48:00	2024-01-01 00:53:00	자동주문
T000049	ACC225858	엄영자	068270	삼성전자	KOSDAQ	BUY	HTS	57	158748	37241564	CANCELLED	BR289	EMP6876	KRW	PC	202.242.15.159	2024-01-01 00:49:00	2024-01-01 00:54:00	리밸런싱
T000050	ACC815576	최진우	051910	삼성전자	KOSDAQ	BUY	HTS	679	467481	14631136	PENDING	BR803	EMP5441	KRW	TABLET	8.43.68.19	2024-01-01 00:50:00	2024-01-01 00:55:00	자동주문
T000051	ACC933917	문영철	035420	NAVER	KOSDAQ	BUY	HTS	477	440177	40743021	COMPLETED	BR783	EMP9378	KRW	TABLET	83.166.152.177	2024-01-01 00:51:00	2024-01-01 00:56:00	자동주문
T000052	ACC845630	오중수	051910	셀트리온	KOSDAQ	SELL	WTS	266	339831	49450130	PENDING	BR472	EMP7058	KRW	MOBILE	45.9.218.62	2024-01-01 00:52:00	2024-01-01 00:57:00	자동주문
T000053	ACC785553	최지은	035420	NAVER	KOSDAQ	SELL	MTS	671	121024	9895187	PENDING	BR845	EMP9894	KRW	TABLET	17.23.48.149	2024-01-01 00:53:00	2024-01-01 00:58:00	자동주문
T000054	ACC281101	김영순	005930	NAVER	KOSPI	SELL	HTS	323	327663	18581447	PENDING	BR135	EMP5209	KRW	TABLET	86.252.188.7	2024-01-01 00:54:00	2024-01-01 00:59:00	VIP고객
T000055	ACC666124	최성수	000660	셀트리온	KOSPI	SELL	HTS	730	46114	20357040	COMPLETED	BR416	EMP9426	KRW	MOBILE	103.98.66.4	2024-01-01 00:55:00	2024-01-01 01:00:00	VIP고객
T000056	ACC379537	김경희	000660	NAVER	KOSDAQ	SELL	MTS	664	490409	14618272	PENDING	BR278	EMP4793	KRW	TABLET	135.115.59.220	2024-01-01 00:56:00	2024-01-01 01:01:00	VIP고객
T000057	ACC297053	김서연	005930	LG화학	KOSDAQ	SELL	WTS	516	335619	24575398	PENDING	BR973	EMP3998	KRW	TABLET	152.30.79.209	2024-01-01 00:57:00	2024-01-01 01:02:00	테스트데이터
T000058	ACC896775	김성현	051910	SK하이닉스	KOSPI	BUY	HTS	941	418448	18945443	COMPLETED	BR155	EMP9721	KRW	MOBILE	192.163.132.27	2024-01-01 00:58:00	2024-01-01 01:03:00	VIP고객
T000059	ACC425649	이성민	051910	NAVER	KOSDAQ	BUY	MTS	397	499785	1240346	PENDING	BR206	EMP6009	KRW	PC	25.241.71.87	2024-01-01 00:59:00	2024-01-01 01:04:00	테스트데이터
T000060	ACC166451	이건우	068270	셀트리온	KOSPI	BUY	MTS	641	430402	6356362	COMPLETED	BR219	EMP5950	KRW	MOBILE	174.69.28.105	2024-01-01 01:00:00	2024-01-01 01:05:00	VIP고객
T000061	ACC512679	김영희	005930	NAVER	KOSPI	SELL	WTS	83	182003	31915688	COMPLETED	BR962	EMP7970	KRW	PC	126.13.65.111	2024-01-01 01:01:00	2024-01-01 01:06:00	테스트데이터
T000062	ACC437181	홍영자	005930	삼성전자	KOSPI	BUY	MTS	887	184339	9078838	COMPLETED	BR301	EMP4081	KRW	PC	147.14.204.158	2024-01-01 01:02:00	2024-01-01 01:07:00	자동주문
T000063	ACC916288	허상훈	005930	셀트리온	KOSDAQ	SELL	WTS	94	267244	43998274	PENDING	BR968	EMP8743	KRW	PC	95.115.12.149	2024-01-01 01:03:00	2024-01-01 01:08:00	VIP고객
T000064	ACC971180	윤혜진	035420	LG화학	KOSPI	BUY	WTS	772	230189	22868115	CANCELLED	BR986	EMP8506	KRW	PC	107.124.22.102	2024-01-01 01:04:00	2024-01-01 01:09:00	VIP고객
T000065	ACC768071	진정수	068270	LG화학	KOSDAQ	SELL	MTS	174	180243	6599945	PENDING	BR145	EMP2809	KRW	MOBILE	158.141.48.83	2024-01-01 01:05:00	2024-01-01 01:10:00	정상거래
T000066	ACC679936	정준영	035420	SK하이닉스	KOSDAQ	BUY	MTS	302	413310	14299014	COMPLETED	BR401	EMP4145	KRW	TABLET	96.44.223.123	2024-01-01 01:06:00	2024-01-01 01:11:00	자동주문
T000067	ACC287322	이영숙	068270	NAVER	KOSDAQ	SELL	MTS	376	447188	17994538	COMPLETED	BR463	EMP7720	KRW	TABLET	54.223.223.1	2024-01-01 01:07:00	2024-01-01 01:12:00	리밸런싱
T000068	ACC609832	김민서	035420	셀트리온	KOSPI	SELL	MTS	785	316297	31999475	COMPLETED	BR146	EMP8098	KRW	TABLET	73.198.70.16	2024-01-01 01:08:00	2024-01-01 01:13:00	정상거래
T000069	ACC610244	이정순	068270	LG화학	KOSDAQ	BUY	MTS	370	382836	5295649	CANCELLED	BR262	EMP7394	KRW	PC	70.141.99.75	2024-01-01 01:09:00	2024-01-01 01:14:00	자동주문
T000070	ACC847595	장영자	068270	셀트리온	KOSDAQ	SELL	HTS	771	463093	39617698	PENDING	BR587	EMP9254	KRW	MOBILE	64.154.125.59	2024-01-01 01:10:00	2024-01-01 01:15:00	테스트데이터
T000071	ACC391122	이영순	068270	SK하이닉스	KOSDAQ	SELL	MTS	704	471045	25601631	CANCELLED	BR606	EMP9260	KRW	TABLET	197.224.111.219	2024-01-01 01:11:00	2024-01-01 01:16:00	VIP고객
T000072	ACC436211	김옥자	035420	SK하이닉스	KOSPI	SELL	MTS	429	496990	43882297	CANCELLED	BR667	EMP5002	KRW	TABLET	102.39.100.249	2024-01-01 01:12:00	2024-01-01 01:17:00	리밸런싱
T000073	ACC570296	김지은	000660	LG화학	KOSDAQ	SELL	MTS	188	296013	19952654	CANCELLED	BR385	EMP5166	KRW	MOBILE	183.32.71.102	2024-01-01 01:13:00	2024-01-01 01:18:00	리밸런싱
T000074	ACC722149	김윤서	005930	NAVER	KOSPI	BUY	MTS	685	83008	14610478	COMPLETED	BR837	EMP8848	KRW	TABLET	177.36.33.171	2024-01-01 01:14:00	2024-01-01 01:19:00	정상거래
T000075	ACC645088	최정순	005930	셀트리온	KOSPI	SELL	MTS	565	465832	3702055	COMPLETED	BR919	EMP8638	KRW	TABLET	20.18.9.122	2024-01-01 01:15:00	2024-01-01 01:20:00	리밸런싱
T000076	ACC543701	조정웅	051910	삼성전자	KOSPI	SELL	HTS	993	16695	7520568	CANCELLED	BR773	EMP3619	KRW	MOBILE	75.59.91.11	2024-01-01 01:16:00	2024-01-01 01:21:00	자동주문
T000077	ACC389750	이은정	051910	NAVER	KOSPI	SELL	MTS	474	181385	21687437	CANCELLED	BR647	EMP2134	KRW	MOBILE	11.57.86.97	2024-01-01 01:17:00	2024-01-01 01:22:00	자동주문
T000078	ACC819639	김중수	005930	삼성전자	KOSPI	SELL	HTS	974	36192	40594033	COMPLETED	BR648	EMP3618	KRW	TABLET	8.147.60.81	2024-01-01 01:18:00	2024-01-01 01:23:00	VIP고객
T000079	ACC365540	고예준	005930	셀트리온	KOSPI	BUY	MTS	314	241517	36344554	COMPLETED	BR496	EMP8890	KRW	PC	135.92.253.249	2024-01-01 01:19:00	2024-01-01 01:24:00	자동주문
T000080	ACC636640	박우진	068270	NAVER	KOSPI	BUY	MTS	767	11363	3865554	CANCELLED	BR556	EMP7862	KRW	TABLET	24.194.87.167	2024-01-01 01:20:00	2024-01-01 01:25:00	정상거래
T000081	ACC602879	백은지	000660	삼성전자	KOSPI	SELL	WTS	418	11862	49835706	PENDING	BR121	EMP9384	KRW	TABLET	57.190.232.0	2024-01-01 01:21:00	2024-01-01 01:26:00	리밸런싱
T000082	ACC361437	최예은	005930	삼성전자	KOSDAQ	SELL	MTS	659	149844	30828507	COMPLETED	BR144	EMP9624	KRW	TABLET	10.164.136.228	2024-01-01 01:22:00	2024-01-01 01:27:00	테스트데이터
T000083	ACC223522	이상호	000660	SK하이닉스	KOSPI	BUY	WTS	619	234248	29403854	PENDING	BR559	EMP7976	KRW	MOBILE	55.222.218.84	2024-01-01 01:23:00	2024-01-01 01:28:00	VIP고객
T000084	ACC356500	김병철	005930	셀트리온	KOSPI	BUY	WTS	472	293019	9716027	COMPLETED	BR412	EMP4546	KRW	TABLET	74.131.192.85	2024-01-01 01:24:00	2024-01-01 01:29:00	리밸런싱
T000085	ACC208840	박정호	000660	셀트리온	KOSDAQ	BUY	MTS	557	206133	1619760	COMPLETED	BR948	EMP7659	KRW	PC	150.96.94.191	2024-01-01 01:25:00	2024-01-01 01:30:00	자동주문
T000086	ACC144455	백영호	000660	셀트리온	KOSDAQ	SELL	HTS	130	196506	47261860	PENDING	BR570	EMP9219	KRW	TABLET	119.132.143.134	2024-01-01 01:26:00	2024-01-01 01:31:00	리밸런싱
T000087	ACC641587	강지아	005930	NAVER	KOSPI	BUY	MTS	874	485622	41036644	COMPLETED	BR480	EMP2008	KRW	TABLET	216.135.9.68	2024-01-01 01:27:00	2024-01-01 01:32:00	리밸런싱
T000088	ACC885164	장승민	000660	SK하이닉스	KOSPI	BUY	MTS	809	108207	40158062	PENDING	BR998	EMP8722	KRW	PC	177.22.137.45	2024-01-01 01:28:00	2024-01-01 01:33:00	정상거래
T000089	ACC907766	김현준	005930	NAVER	KOSDAQ	SELL	HTS	264	173894	31354122	CANCELLED	BR117	EMP8677	KRW	PC	179.23.189.97	2024-01-01 01:29:00	2024-01-01 01:34:00	테스트데이터
T000090	ACC199962	한정남	005930	LG화학	KOSPI	BUY	HTS	453	430706	47868519	COMPLETED	BR308	EMP9488	KRW	PC	128.129.23.29	2024-01-01 01:30:00	2024-01-01 01:35:00	자동주문
T000091	ACC991273	김상호	068270	NAVER	KOSDAQ	BUY	WTS	708	210996	15338672	CANCELLED	BR162	EMP8503	KRW	MOBILE	83.68.252.131	2024-01-01 01:31:00	2024-01-01 01:36:00	정상거래
T000092	ACC892896	김민재	068270	삼성전자	KOSPI	SELL	WTS	516	64073	34787194	COMPLETED	BR765	EMP3510	KRW	MOBILE	97.130.140.212	2024-01-01 01:32:00	2024-01-01 01:37:00	VIP고객
T000093	ACC452868	김서영	005930	NAVER	KOSPI	SELL	WTS	850	381982	25821515	CANCELLED	BR691	EMP1512	KRW	TABLET	132.27.231.233	2024-01-01 01:33:00	2024-01-01 01:38:00	테스트데이터
T000094	ACC936319	김수민	068270	셀트리온	KOSDAQ	BUY	HTS	392	331874	6110596	COMPLETED	BR407	EMP3565	KRW	PC	51.215.192.198	2024-01-01 01:34:00	2024-01-01 01:39:00	리밸런싱
T000095	ACC839948	류승민	051910	LG화학	KOSPI	BUY	HTS	817	411418	37513254	CANCELLED	BR643	EMP9747	KRW	MOBILE	98.202.129.137	2024-01-01 01:35:00	2024-01-01 01:40:00	정상거래
T000096	ACC756598	강영미	051910	NAVER	KOSPI	BUY	MTS	120	289265	19961420	COMPLETED	BR333	EMP3651	KRW	MOBILE	2.167.125.88	2024-01-01 01:36:00	2024-01-01 01:41:00	테스트데이터
T000097	ACC188284	황상현	068270	삼성전자	KOSDAQ	BUY	MTS	62	476590	18711942	CANCELLED	BR535	EMP6298	KRW	PC	94.24.42.173	2024-01-01 01:37:00	2024-01-01 01:42:00	리밸런싱
T000098	ACC622803	진춘자	051910	SK하이닉스	KOSDAQ	BUY	MTS	479	364764	38975624	PENDING	BR902	EMP9877	KRW	MOBILE	151.56.29.98	2024-01-01 01:38:00	2024-01-01 01:43:00	테스트데이터
T000099	ACC252969	장수민	000660	삼성전자	KOSPI	BUY	MTS	875	263402	9332794	COMPLETED	BR929	EMP1116	KRW	TABLET	133.199.165.186	2024-01-01 01:39:00	2024-01-01 01:44:00	정상거래
T000100	ACC595364	김서현	035420	SK하이닉스	KOSPI	BUY	MTS	523	376365	2690970	COMPLETED	BR109	EMP1381	KRW	PC	163.241.146.49	2024-01-01 01:40:00	2024-01-01 01:45:00	정상거래
T000101	ACC491908	이영희	000660	삼성전자	KOSPI	BUY	MTS	533	222910	31253844	CANCELLED	BR604	EMP7574	KRW	MOBILE	114.169.73.94	2024-01-01 01:41:00	2024-01-01 01:46:00	VIP고객
T000102	ACC970538	김순옥	051910	NAVER	KOSPI	BUY	HTS	518	409695	6525889	PENDING	BR556	EMP5092	KRW	TABLET	185.149.158.112	2024-01-01 01:42:00	2024-01-01 01:47:00	정상거래
T000103	ACC348036	이서연	000660	NAVER	KOSPI	SELL	MTS	433	15740	45630563	CANCELLED	BR515	EMP7428	KRW	TABLET	196.146.167.153	2024-01-01 01:43:00	2024-01-01 01:48:00	테스트데이터
T000104	ACC863560	김하은	005930	NAVER	KOSPI	BUY	WTS	769	190877	10539858	COMPLETED	BR214	EMP9580	KRW	PC	99.232.223.206	2024-01-01 01:44:00	2024-01-01 01:49:00	테스트데이터
T000105	ACC642905	김진호	035420	LG화학	KOSDAQ	SELL	HTS	285	278721	2053588	COMPLETED	BR654	EMP5716	KRW	MOBILE	82.123.111.153	2024-01-01 01:45:00	2024-01-01 01:50:00	정상거래
T000106	ACC165187	최광수	051910	NAVER	KOSDAQ	SELL	HTS	382	272645	14704175	COMPLETED	BR359	EMP6372	KRW	MOBILE	71.248.252.50	2024-01-01 01:46:00	2024-01-01 01:51:00	VIP고객
T000107	ACC564121	김예준	068270	셀트리온	KOSPI	BUY	MTS	305	310305	41880971	COMPLETED	BR735	EMP7373	KRW	MOBILE	51.229.211.158	2024-01-01 01:47:00	2024-01-01 01:52:00	VIP고객
T000108	ACC391776	정성훈	000660	LG화학	KOSPI	BUY	HTS	199	382417	4688768	CANCELLED	BR129	EMP4647	KRW	MOBILE	54.179.93.119	2024-01-01 01:48:00	2024-01-01 01:53:00	VIP고객
T000109	ACC728783	장민준	068270	LG화학	KOSDAQ	SELL	WTS	672	281677	19550737	COMPLETED	BR759	EMP9002	KRW	TABLET	128.231.152.185	2024-01-01 01:49:00	2024-01-01 01:54:00	자동주문
T000110	ACC845235	양민수	005930	SK하이닉스	KOSPI	SELL	HTS	516	175276	15747195	PENDING	BR624	EMP3283	KRW	TABLET	70.1.197.177	2024-01-01 01:50:00	2024-01-01 01:55:00	테스트데이터
T000111	ACC735788	김중수	035420	LG화학	KOSPI	BUY	MTS	194	209799	40137036	COMPLETED	BR547	EMP3674	KRW	MOBILE	141.142.184.30	2024-01-01 01:51:00	2024-01-01 01:56:00	자동주문
T000112	ACC962802	서경희	005930	NAVER	KOSPI	BUY	MTS	432	101966	18330771	CANCELLED	BR435	EMP3027	KRW	PC	174.127.150.184	2024-01-01 01:52:00	2024-01-01 01:57:00	VIP고객
T000113	ACC847283	우수진	035420	LG화학	KOSDAQ	BUY	WTS	751	78913	25272125	CANCELLED	BR327	EMP8526	KRW	PC	103.228.184.60	2024-01-01 01:53:00	2024-01-01 01:58:00	테스트데이터
T000114	ACC610750	이정식	000660	셀트리온	KOSPI	SELL	WTS	141	163348	27412273	CANCELLED	BR674	EMP9577	KRW	MOBILE	51.4.137.104	2024-01-01 01:54:00	2024-01-01 01:59:00	정상거래
T000115	ACC495698	박영철	035420	삼성전자	KOSDAQ	BUY	HTS	180	229615	26031561	PENDING	BR817	EMP1266	KRW	PC	41.246.236.231	2024-01-01 01:55:00	2024-01-01 02:00:00	테스트데이터
T000116	ACC441091	정성현	005930	LG화학	KOSPI	BUY	HTS	367	182938	25407991	PENDING	BR697	EMP3591	KRW	TABLET	11.133.31.107	2024-01-01 01:56:00	2024-01-01 02:01:00	VIP고객
T000117	ACC384266	곽현정	068270	셀트리온	KOSPI	SELL	WTS	792	209155	15732102	CANCELLED	BR248	EMP2261	KRW	MOBILE	71.64.213.112	2024-01-01 01:57:00	2024-01-01 02:02:00	리밸런싱
T000118	ACC923303	이민준	035420	NAVER	KOSDAQ	SELL	WTS	399	420737	31022899	CANCELLED	BR274	EMP1319	KRW	TABLET	95.106.61.235	2024-01-01 01:58:00	2024-01-01 02:03:00	테스트데이터
T000119	ACC963732	김상훈	051910	삼성전자	KOSPI	SELL	MTS	251	192333	28801701	CANCELLED	BR681	EMP8476	KRW	PC	162.148.249.168	2024-01-01 01:59:00	2024-01-01 02:04:00	리밸런싱
T000120	ACC610885	송현주	035420	SK하이닉스	KOSDAQ	BUY	WTS	151	346791	10906642	PENDING	BR219	EMP5103	KRW	PC	21.137.101.45	2024-01-01 02:00:00	2024-01-01 02:05:00	정상거래
T000121	ACC215421	전지영	005930	NAVER	KOSDAQ	SELL	HTS	458	444458	40254280	CANCELLED	BR816	EMP9867	KRW	MOBILE	162.63.120.77	2024-01-01 02:01:00	2024-01-01 02:06:00	자동주문
T000122	ACC817429	장은서	005930	셀트리온	KOSDAQ	SELL	MTS	131	173774	18898957	COMPLETED	BR581	EMP5941	KRW	MOBILE	86.164.125.159	2024-01-01 02:02:00	2024-01-01 02:07:00	리밸런싱
